Structure_ID,Latitude,Longitude,HWB_Class,Year_Built,Design_Era,Num_Spans,Sa_1s_g,PGA_g,Observed_DS,Obs_DR,Obs_Repair_Category,Obs_Repair_Action,Obs_Priority,RF_DS,RF_DR,RF_P_None,RF_P_Slight,RF_P_Moderate,RF_P_Extensive,RF_P_Complete,RF_Repair_Category,RF_Repair_Action,RF_Priority,MLP_DS,MLP_DR,MLP_P_None,MLP_P_Slight,MLP_P_Moderate,MLP_P_Extensive,MLP_P_Complete,MLP_Repair_Category,MLP_Repair_Action,MLP_Priority,RF_Correct,MLP_Correct,Obs_Color,RF_Color,MLP_Color,Is_Damaged_Obs,Is_Damaged_RF,Is_Damaged_MLP
52 0283,34.26833333,-118.635,HWB5,1968,conventional,122,0.5065,0.7548,none,0.0,Safe,No action needed,0,none,0.0,0.718845540300959,0.0776116545609175,0.1311296239619361,0.024593319114754753,0.047819862061432204,Safe,No action needed,0,none,0.0,0.9999112400154612,7.506414572435565e-05,1.3695838811220209e-05,3.036164801094761e-15,1.0489611153967167e-16,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0299,34.28166667,-118.7083333,HWB8,1968,conventional,198,0.8052,0.7306,none,0.0,Safe,No action needed,0,none,0.0,0.6645287194235501,0.07364271946498872,0.21120196773812122,0.024329050901396046,0.026297542471943984,Safe,No action needed,0,none,0.0,0.9310121265396468,1.66129366998376e-09,0.06898787114172115,6.573383733987228e-10,6.889609112527373e-17,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0300,34.28166667,-118.6766667,HWB8,1968,conventional,238,0.6643,0.7964,moderate,0.08,Needs Repair,Plan repair — 6 months,2,moderate,0.08,0.245440107294733,0.03614505940392923,0.6918449428649027,0.014543588940167803,0.012026301496267076,Needs Repair,Plan repair — 6 months,2,moderate,0.08,0.30303868142693025,3.993858829687085e-07,0.6969609191592795,2.7907164050908932e-11,2.203771946720471e-16,Needs Repair,Plan repair — 6 months,2,1,1,orange,orange,orange,1,1,1
52 0301,34.28166667,-118.6816667,HWB5,1968,conventional,98,0.6643,0.7964,none,0.0,Safe,No action needed,0,none,0.0,0.7787152404620419,0.04478241663026347,0.08267625249211268,0.05257740699214918,0.041248683423432665,Safe,No action needed,0,none,0.0,0.9999867152504057,4.777503747193324e-06,8.507245845925164e-06,1.129123975330339e-15,9.60880136914207e-17,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0302,34.28166667,-118.69,HWB5,1968,conventional,195,0.6643,0.7964,none,0.0,Safe,No action needed,0,none,0.0,0.7312310216606052,0.0642070803626239,0.10506294897793471,0.01122252711075522,0.08827642188808088,Safe,No action needed,0,none,0.0,0.9999573347341494,1.5014302094277016e-07,4.2515122828009335e-05,1.6736519309189836e-15,1.46440483054762e-17,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0303,34.28166667,-118.6983333,HWB3,1968,conventional,155,0.8052,0.7306,none,0.0,Safe,No action needed,0,none,0.0,0.60875684962101,0.11396820338294304,0.09394388545330773,0.07156135078798007,0.11176971075475892,Safe,No action needed,0,none,0.0,0.9999769126169582,2.9959799828981635e-07,2.2787785040968634e-05,2.4437079606330936e-15,1.7513360186888792e-16,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0304,34.23666667,-118.84,HWB3,1970,conventional,125,0.3163,0.3659,none,0.0,Safe,No action needed,0,none,0.0,0.8578276850740952,0.07305939699456453,0.04941426800390367,0.001801123861762537,0.017897526065673675,Safe,No action needed,0,none,0.0,0.9999999755752932,2.183430977072983e-08,2.5903970426946547e-09,6.326845607100261e-27,2.199831391224144e-31,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0305,34.2,-118.855,HWB3,1970,conventional,119,0.3192,0.3184,none,0.0,Safe,No action needed,0,none,0.0,0.9426440642548662,0.03905359031999425,0.01812000487578171,0.0,0.00018234054935777113,Safe,No action needed,0,none,0.0,0.9999999982818004,1.1419104952031064e-09,5.762889098980932e-10,1.2496735248386458e-28,1.5409284986291446e-32,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0306,34.18166667,-118.86,HWB3,1970,conventional,195,0.2929,0.2878,none,0.0,Safe,No action needed,0,none,0.0,0.8984749467979242,0.06010840450209349,0.018055015043769634,0.005994222117126229,0.0173674115390864,Safe,No action needed,0,none,0.0,0.9999999998724034,8.01455672063389e-11,4.7450947254292755e-11,1.2938678073605682e-29,2.502169571131853e-33,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0307,34.17833333,-118.86,HWB5,1970,conventional,119,0.2929,0.2878,none,0.0,Safe,No action needed,0,none,0.0,0.9698844656517503,0.018282339917213907,0.01165085388167794,0.0,0.00018234054935777113,Safe,No action needed,0,none,0.0,0.9999999995103408,7.704508164319547e-11,4.1261411424389267e-10,4.2826150823098585e-30,2.5495634369619625e-33,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0308,34.21166667,-118.8466667,HWB3,1970,conventional,168,0.3243,0.3353,none,0.0,Safe,No action needed,0,none,0.0,0.8939621139950481,0.05661991480560815,0.022224805611443327,0.004665697292722219,0.02252746829517814,Safe,No action needed,0,none,0.0,0.9999999981165524,1.4706132544157343e-09,4.1283440474111334e-10,9.837519575896633e-28,8.096395826106328e-32,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0309,34.28166667,-118.7166667,HWB5,1969,conventional,198,0.7572,0.6773,none,0.0,Safe,No action needed,0,none,0.0,0.6428545451939986,0.11794196046022716,0.10259621710305082,0.02164296974199626,0.11496430750072718,Safe,No action needed,0,none,0.0,0.999951350387757,1.3105891608642938e-09,4.86483014782605e-05,1.7556660359573906e-13,7.187735376252619e-18,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0310,34.19,-118.86,HWB3,1970,conventional,119,0.2929,0.2878,none,0.0,Safe,No action needed,0,none,0.0,0.949923922990465,0.0340818628748184,0.015811873585358717,0.0,0.00018234054935777113,Safe,No action needed,0,none,0.0,0.9999999992769093,4.3929347694320076e-10,2.8379727618463684e-10,1.2624356487348002e-29,1.926568982073984e-33,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0311,34.22666667,-118.845,HWB5,1970,conventional,98,0.3233,0.3488,none,0.0,Safe,No action needed,0,none,0.0,0.9556774654590231,0.021583629749592114,0.014241023819246391,0.004805573558003888,0.0036923074141345024,Safe,No action needed,0,none,0.0,0.9999999896477288,2.8595180897311084e-09,7.492752935784259e-09,6.645688954317371e-28,9.510827843416711e-32,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0312,34.24333333,-118.8366667,HWB5,1970,conventional,119,0.2897,0.3674,none,0.0,Safe,No action needed,0,none,0.0,0.8931297420138192,0.042448234606826195,0.04034854318494588,0.011150390984820244,0.012923089209588371,Safe,No action needed,0,none,0.0,0.9999999770394504,1.2998459487497196e-08,9.962090134047656e-09,2.7599292315510067e-27,2.451005380292987e-31,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0313,34.22,-118.8483333,HWB3,1970,conventional,119,0.3243,0.3353,none,0.0,Safe,No action needed,0,none,0.0,0.9376440642548662,0.03905359031999425,0.02312000487578171,0.0,0.00018234054935777113,Safe,No action needed,0,none,0.0,0.999999994240945,4.406958573279723e-09,1.352096443132938e-09,9.577688143082782e-28,5.161077307072528e-32,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0314,34.175,-118.8566667,HWB3,1970,conventional,472,0.2415,0.2702,none,0.0,Safe,No action needed,0,none,0.0,0.9343367220081541,0.015126097417433955,0.019436025859790006,0.008495023714702959,0.02260613099991917,Safe,No action needed,0,none,0.0,0.999999999978527,2.0737896418655574e-11,7.351685287039428e-13,1.1328490312337734e-31,3.5263184811400316e-36,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0315,34.17666667,-118.86,HWB3,1970,conventional,119,0.2929,0.2878,none,0.0,Safe,No action needed,0,none,0.0,0.9493527850807841,0.033981899327353904,0.01648297504250416,0.0,0.00018234054935777113,Safe,No action needed,0,none,0.0,0.9999999995449809,2.505941348278779e-10,2.0442498086589296e-10,6.930586350369916e-30,2.1238700513650538e-33,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0316,34.17666667,-118.86,HWB3,1970,conventional,421,0.2929,0.2878,none,0.0,Safe,No action needed,0,none,0.0,0.9386490655118171,0.011376097417433955,0.01512368235612683,0.008495023714702959,0.02635613099991917,Safe,No action needed,0,none,0.0,0.9999999999799678,1.8570234605904338e-11,1.4620101046388002e-12,1.6163276628562283e-30,5.54776925856567e-35,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0317,34.17666667,-118.86,HWB1,1970,conventional,122,0.2929,0.2878,none,0.0,Safe,No action needed,0,none,0.0,0.9201393968595584,0.06188035330240961,0.010408097763659845,0.005,0.002572152074372139,Safe,No action needed,0,none,0.0,0.9999926720344674,7.262938915544765e-06,6.502661693363814e-08,6.440812349630707e-27,3.3314858934716752e-34,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0318,34.205,-118.8483333,HWB5,1970,conventional,122,0.3192,0.3184,none,0.0,Safe,No action needed,0,none,0.0,0.9525509479160903,0.03204088440448151,0.012653675055698263,0.0,0.00275449262372991,Safe,No action needed,0,none,0.0,0.999999997656132,3.9009472807668304e-10,1.953773420618977e-09,1.701871231571034e-28,4.41545740316946e-32,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0319,34.26666667,-118.85,HWB5,1970,conventional,73,0.3001,0.3488,none,0.0,Safe,No action needed,0,none,0.0,0.9479101780409924,0.023796690619680257,0.01960082392519281,0.0,0.008692307414134503,Safe,No action needed,0,none,0.0,0.9999999614956036,1.7191775986089725e-08,2.1312620471426502e-08,5.410369146629427e-28,1.2119732476040435e-32,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0320,34.28166667,-118.75,HWB3,1970,conventional,155,0.6362,0.5829,none,0.0,Safe,No action needed,0,none,0.0,0.6408756915160503,0.10152021596866832,0.08565179394458576,0.0801444965270511,0.0918078020436444,Safe,No action needed,0,none,0.0,0.9999984472974469,7.974945020551472e-08,1.4729531028664017e-06,1.0531904276152626e-16,9.920765238979742e-22,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0321,34.28166667,-118.7266667,HWB5,1969,conventional,155,0.7005,0.6262,none,0.0,Safe,No action needed,0,none,0.0,0.6849622567418017,0.11189169946081165,0.08880427898016353,0.040831141899286535,0.07351062291793664,Safe,No action needed,0,none,0.0,0.9999766518430419,3.397043031083783e-09,2.3344759902046953e-05,1.3035355590266858e-14,2.1520318056514974e-19,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0322,34.28166667,-118.73,HWB5,1969,conventional,155,0.7005,0.6262,none,0.0,Safe,No action needed,0,none,0.0,0.6849622567418017,0.11189169946081165,0.08880427898016353,0.040831141899286535,0.07351062291793664,Safe,No action needed,0,none,0.0,0.9999811333944706,2.8960262288667104e-09,1.8863709494606775e-05,8.482079595162983e-15,1.3519835704415726e-19,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0323,34.28166667,-118.735,HWB5,1969,conventional,155,0.7005,0.6262,none,0.0,Safe,No action needed,0,none,0.0,0.6849622567418017,0.11189169946081165,0.08880427898016353,0.040831141899286535,0.07351062291793664,Safe,No action needed,0,none,0.0,0.9999862957960719,2.279570026362381e-09,1.370192435375662e-05,4.452132263642912e-15,6.732119258894619e-20,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0324,34.28166667,-118.6716667,HWB5,1968,conventional,122,0.5431,0.7918,none,0.0,Safe,No action needed,0,none,0.0,0.7470334206133898,0.0656045129974587,0.09782949049997933,0.0445434643446367,0.04498911154453523,Safe,No action needed,0,none,0.0,0.9999791155423096,1.5324469075821714e-05,5.559988614309895e-06,3.303310058314659e-16,3.9119040431301306e-18,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0325,34.18333333,-118.89,HWB5,1968,conventional,274,0.2727,0.2738,none,0.0,Safe,No action needed,0,none,0.0,0.9301698067824922,0.011660995272643146,0.02985461179968455,0.002703802475852626,0.025610783669327786,Safe,No action needed,0,none,0.0,0.9999999999944156,1.853107938478215e-12,3.7312182864650676e-12,1.4541652082787058e-31,4.933121534106204e-36,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0326,34.28166667,-118.76,HWB5,1970,conventional,198,0.534,0.5494,none,0.0,Safe,No action needed,0,none,0.0,0.6737132336703671,0.10039750273202039,0.0745896029143172,0.029097083248267125,0.12220257743502834,Safe,No action needed,0,none,0.0,0.9999993715682575,2.116527536586964e-08,6.072664672345428e-07,1.4396431187954083e-18,3.1496372813222983e-23,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0327,34.28166667,-118.7433333,HWB5,1969,conventional,198,0.6362,0.5829,none,0.0,Safe,No action needed,0,none,0.0,0.685894427840241,0.1072509284960762,0.07259249604674342,0.03853721480297178,0.09572493281396773,Safe,No action needed,0,none,0.0,0.9999972120809916,1.0192867878458594e-08,2.7777261400427744e-06,3.9051504095239945e-16,3.0601828256853787e-21,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0329,34.28166667,-118.7783333,HWB5,1970,conventional,244,0.3832,0.4877,none,0.0,Safe,No action needed,0,none,0.0,0.7881064813769099,0.054847445870152986,0.06266419413001208,0.025558175277024295,0.06882370334590077,Safe,No action needed,0,none,0.0,0.9999999003389929,6.612584966277563e-08,3.3535157322995516e-08,1.3125402244496926e-21,2.8012802408429527e-26,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0330,34.28166667,-118.8633333,HWB6,1993,seismic,134,0.3043,0.3287,none,0.0,Safe,No action needed,0,none,0.0,0.9636093120936454,0.015901228855119198,0.01350327328125291,0.00698618576998263,0.0,Safe,No action needed,0,none,0.0,0.9999999963924631,1.2689472796488045e-09,2.338589597818363e-09,1.1370613603529881e-36,1.5441659181272984e-39,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0331,34.28666667,-118.865,HWB2,1993,seismic,134,0.3043,0.3287,none,0.0,Safe,No action needed,0,none,0.0,0.9418648891472364,0.016157262107011384,0.007048996444558975,0.032658491002969164,0.0022703612982241275,Safe,No action needed,0,none,0.0,0.9999999878565001,3.3070464486221453e-10,1.1812795355203715e-08,2.218047641115786e-30,1.0332907709968285e-36,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0332,34.29333333,-118.8416667,HWB6,1993,seismic,201,0.2932,0.3475,none,0.0,Safe,No action needed,0,none,0.0,0.958137363090696,0.0123825004796352,0.02076312293180539,0.00871701349786347,0.0,Safe,No action needed,0,none,0.0,0.9999999993579796,8.444331209131215e-11,5.57577039685031e-10,1.126091590271027e-36,7.838135567079139e-39,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0334,34.29166667,-118.8583333,HWB4,1993,seismic,134,0.2932,0.3475,none,0.0,Safe,No action needed,0,none,0.0,0.95696163828859,0.007552117169782604,0.01795436360336327,0.015494805570172923,0.0020370753680912556,Safe,No action needed,0,none,0.0,0.9999999928161147,1.2899862877855101e-09,5.893898861319591e-09,3.972268410428037e-34,5.945844172373023e-38,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0339,34.14666667,-118.8416667,HWB5,1968,conventional,134,0.2087,0.2515,none,0.0,Safe,No action needed,0,none,0.0,0.9336603048207114,0.052607818217196,0.010631624155573793,0.00017288009139446506,0.002927372715124375,Safe,No action needed,0,none,0.0,0.999999999412901,2.3664658600859853e-10,3.5045256806063425e-10,1.7774351837187617e-30,1.1953258978666078e-33,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0341,34.27833333,-118.8716667,HWB3,1970,conventional,244,0.3043,0.3287,none,0.0,Safe,No action needed,0,none,0.0,0.9246549482943301,0.02700201142584153,0.015459945773758785,0.0193235446081684,0.013559549897901124,Safe,No action needed,0,none,0.0,0.9999999966582016,3.244328594414177e-09,9.74697338899108e-11,1.5091449354283274e-28,1.3466919757280845e-34,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0343,34.28166667,-118.7,HWB5,1968,conventional,311,0.8052,0.7306,none,0.0,Safe,No action needed,0,none,0.0,0.5142793482044613,0.05700585114639223,0.2744583511644679,0.01675339247556119,0.13750305700911736,Safe,No action needed,0,none,0.0,0.9993533877709813,6.650038222507296e-09,0.0006466055789783115,2.25794319877763e-15,8.468188710102455e-17,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0346,34.28166667,-118.77,HWB3,1970,conventional,155,0.534,0.5494,none,0.0,Safe,No action needed,0,none,0.0,0.6639676437530315,0.10754305245863995,0.08203722487433864,0.0596740854539299,0.08677799346005982,Safe,No action needed,0,none,0.0,0.9999991471686548,3.2908832931660193e-07,5.237430159233607e-07,8.158152142126115e-19,6.503964767786695e-24,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0349,34.15333333,-118.8166667,HWB5,1973,conventional,195,0.2942,0.288,none,0.0,Safe,No action needed,0,none,0.0,0.9390289706756882,0.020925851963930903,0.019475240052904876,0.005857544683126277,0.014712392624349533,Safe,No action needed,0,none,0.0,0.9999999998200786,3.884858317383651e-12,1.760365453255451e-10,1.5660365915855945e-28,2.2753123030308682e-30,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0354,34.28333333,-118.7883333,HWB6,1976,seismic,152,0.3832,0.4877,none,0.0,Safe,No action needed,0,none,0.0,0.8404943496520816,0.05733540874837086,0.055738231681751446,0.0463876895319127,4.432038588322493e-05,Safe,No action needed,0,none,0.0,0.9997557327755995,0.00017095416663058971,7.33130577697697e-05,4.7998523681855946e-21,1.4228330013944717e-28,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0355,34.28666667,-118.795,HWB6,1976,seismic,116,0.4306,0.4638,none,0.0,Safe,No action needed,0,none,0.0,0.6853949740829904,0.11991374659280236,0.09775892353239828,0.09682322671465647,0.0001091290771526246,Safe,No action needed,0,none,0.0,0.9990638253339257,0.000664533221541707,0.0002716414445326373,1.9856917081640056e-20,1.2547615112775614e-28,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0368,34.26333333,-118.8466667,HWB7,1970,conventional,119,0.3001,0.3488,none,0.0,Safe,No action needed,0,none,0.0,0.9512147445089069,0.02718236242014839,0.020914150733957887,0.0006887423369868102,0.0,Safe,No action needed,0,none,0.0,0.9999999884252956,1.7223481506060838e-10,1.1402469469867351e-08,1.0311590986658267e-28,2.3682649169006406e-33,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0387,34.29,-118.7983333,HWB5,1974,conventional,85,0.4306,0.4638,none,0.0,Safe,No action needed,0,none,0.0,0.7878942579044126,0.07094103843095939,0.09743186405632884,0.020644323572007076,0.023088516036291872,Safe,No action needed,0,none,0.0,0.9999999517127217,2.645492204050877e-10,4.802272908966859e-08,2.079834243541699e-24,6.304871858127502e-28,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0401,34.16166667,-118.8283333,HWB5,1973,conventional,536,0.2929,0.2882,none,0.0,Safe,No action needed,0,none,0.0,0.9492697007505179,0.016362438257552993,0.011827362720876677,0.0015798231913909358,0.020960675079661657,Safe,No action needed,0,none,0.0,0.9999999999994458,5.426367400374331e-14,5.001358267765747e-13,1.3619491976744305e-30,4.097529660089027e-33,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0411,34.18,-118.8833333,HWB6,1982,seismic,67,0.2727,0.2738,none,0.0,Safe,No action needed,0,none,0.0,0.9749808806227004,0.022247328809501744,0.0027717905677977837,0.0,0.0,Safe,No action needed,0,none,0.0,0.9999978610314444,1.8600108645697438e-06,2.7895769106031493e-07,1.3949733006925558e-31,3.3425194508707135e-37,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0412,34.18,-118.885,HWB6,1982,seismic,104,0.2727,0.2738,none,0.0,Safe,No action needed,0,none,0.0,0.981149089192506,0.01607912023969618,0.0027717905677977837,0.0,0.0,Safe,No action needed,0,none,0.0,0.9999997102690248,2.145214774944938e-07,7.52094976121731e-08,1.0341522492074343e-31,4.154141647035204e-37,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0416,34.17833333,-118.86,HWB5,1970,conventional,119,0.2929,0.2878,none,0.0,Safe,No action needed,0,none,0.0,0.9698844656517503,0.018282339917213907,0.01165085388167794,0.0,0.00018234054935777113,Safe,No action needed,0,none,0.0,0.9999999995103408,7.704508164319547e-11,4.1261411424389267e-10,4.2826150823098585e-30,2.5495634369619625e-33,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0417,34.17833333,-118.86,HWB5,1970,conventional,119,0.2929,0.2878,none,0.0,Safe,No action needed,0,none,0.0,0.9698844656517503,0.018282339917213907,0.01165085388167794,0.0,0.00018234054935777113,Safe,No action needed,0,none,0.0,0.9999999995103408,7.704508164319547e-11,4.1261411424389267e-10,4.2826150823098585e-30,2.5495634369619625e-33,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0004,34.41333333,-118.7866667,HWB6,1985,seismic,110,0.3533,0.3416,none,0.0,Safe,No action needed,0,none,0.0,0.9804302818181092,0.007715973645048287,0.000713701333076664,0.011140043203765776,0.0,Safe,No action needed,0,none,0.0,0.9999398782708199,4.9641862730499556e-05,1.047986644971694e-05,2.9505968963993797e-29,7.270180384351765e-36,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0029,34.265,-118.6683333,HWB3,1962,conventional,64,0.7282,0.7932,none,0.0,Safe,No action needed,0,none,0.0,0.8286488581175998,0.05414740069979855,0.1031185895812784,0.01038528821333963,0.003699863387983667,Safe,No action needed,0,none,0.0,0.993485287149015,0.006404416457518701,0.00011029639346386425,2.3822816705949e-15,2.059201106740213e-17,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0047,34.12666667,-118.8733333,HWB5,1932,conventional,55,0.1979,0.2359,none,0.0,Safe,No action needed,0,none,0.0,0.9674466130236438,0.023617914875616867,0.008753131551381556,0.0,0.00018234054935777113,Safe,No action needed,0,none,0.0,0.9999999999999993,2.3611496252028963e-18,6.471452051449155e-16,8.850356186171563e-46,3.706257755282337e-59,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0082,34.27166667,-118.6983333,HWB7,1965,conventional,213,0.4897,0.7052,none,0.0,Safe,No action needed,0,none,0.0,0.7146352577637145,0.11355352273865513,0.1046050224070254,0.03793388838658427,0.029272308704020814,Safe,No action needed,0,none,0.0,0.9876413346398626,0.00016450283879058182,0.012194162521313195,3.358366978434065e-14,1.0632704992118497e-19,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0085,34.27166667,-118.7383333,HWB3,1911,conventional,183,0.6649,0.605,none,0.0,Safe,No action needed,0,none,0.0,0.8260464988344625,0.07406233500107234,0.07506219791929769,0.019492128055192962,0.005336840189974835,Safe,No action needed,0,none,0.0,1.0,5.330391940518891e-18,6.757625033183101e-19,1.0299305569420564e-51,3.563150655424068e-72,Safe,No action needed,0,1,1,green,green,green,0,0,0
